,price,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,region
90747,1300.0,1100.0,3.0,1.0,0,0,1,0,0,0,unknown,unknown,41.6546,-87.675,10.0
90750,1000.0,1040.0,2.0,2.0,1,1,1,0,0,0,w/d in unit,attached garage,41.9719,-87.6624,0.0
90752,2400.0,1800.0,4.0,1.5,1,1,1,0,0,1,w/d in unit,carport,41.9396,-87.6772,5.0
90754,2200.0,850.0,1.0,1.0,1,1,1,0,0,1,laundry in bldg,unknown,41.8764,-87.6476,4.0
90760,2752.0,1202.0,2.0,2.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8722,-87.6276,4.0
90761,2825.0,1010.0,2.0,2.0,1,1,1,0,0,0,w/d in unit,attached garage,41.8816,-87.6597,4.0
90762,2051.0,597.0,0.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8924,-87.6343,1.0
90763,1922.0,452.0,0.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8932,-87.6343,1.0
90767,3056.0,1200.0,2.0,2.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8984,-87.6283,1.0
90770,2684.0,870.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8984,-87.6283,1.0
90771,2507.0,770.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8979,-87.6315,1.0
90772,1796.0,540.0,0.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8984,-87.6283,1.0
90774,1000.0,1200.0,2.0,1.0,0,0,1,0,0,0,laundry in bldg,street parking,41.69600000000001,-87.6123,11.0
90775,1650.0,850.0,1.0,1.0,1,0,0,0,0,0,w/d in unit,detached garage,41.9569,-87.6514,5.0
90781,750.0,650.0,1.0,1.0,0,0,1,0,0,0,no laundry on site,no parking,41.7925,-87.6222,7.0
90782,1450.0,850.0,1.0,1.0,0,0,0,0,0,0,laundry in bldg,detached garage,41.9495,-87.6726,0.0
90787,850.0,900.0,1.0,1.0,1,1,1,1,0,0,unknown,unknown,41.9225,-87.6597,5.0
90793,2280.0,900.0,2.0,1.0,1,1,0,0,0,0,w/d in unit,attached garage,41.8587,-87.6239,4.0
90801,3065.0,1460.0,2.0,2.5,0,0,1,0,0,0,unknown,unknown,41.8668,-87.6241,4.0
90802,2200.0,1000.0,2.0,1.5,0,0,0,0,0,0,w/d in unit,street parking,41.9099,-87.669,9.0
90803,1710.0,565.0,0.0,1.0,1,1,0,0,0,0,w/d in unit,attached garage,41.9634,-87.6777,0.0
90804,2425.0,760.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9645,-87.6558,5.0
90805,2840.0,1435.0,2.0,2.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9634,-87.6777,0.0
90810,2376.0,1177.0,2.0,2.0,1,1,0,0,0,0,w/d in unit,attached garage,41.8561,-87.6255,4.0
90812,2000.0,1000.0,2.0,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,41.8566,-87.6498,4.0
90815,1700.0,800.0,1.0,1.0,0,0,1,0,0,0,w/d in unit,street parking,41.9019,-87.6779,9.0
90818,825.0,980.0,2.0,1.0,0,0,1,0,0,0,laundry in bldg,off-street parking,41.762,-87.5703,11.0
90819,1600.0,1100.0,3.0,1.0,0,0,1,0,0,0,no laundry on site,off-street parking,41.9103,-87.6912,9.0
90826,1400.0,1100.0,1.0,1.0,1,0,0,0,0,0,laundry in bldg,detached garage,41.909,-87.6654,9.0
90828,2050.0,900.0,2.0,1.0,0,0,0,0,0,0,w/d in unit,attached garage,41.8426,-87.6306,4.0
90838,1300.0,800.0,2.0,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,41.9464,-87.7042,3.0
90841,1700.0,1600.0,2.0,1.0,1,1,0,0,0,0,laundry in bldg,street parking,41.9161,-87.7026,3.0
90852,1500.0,1000.0,2.0,1.0,1,0,0,0,0,0,laundry in bldg,street parking,41.9017,-87.6822,9.0
90855,3050.0,1319.0,2.0,2.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8722,-87.6307,4.0
90856,2780.0,1262.0,2.0,2.0,1,1,0,1,0,0,w/d in unit,attached garage,41.8722,-87.6307,4.0
90857,2058.0,963.0,1.0,1.5,1,1,0,1,0,0,w/d in unit,attached garage,41.8721,-87.6306,4.0
90858,2069.0,886.0,1.0,1.5,1,1,0,1,0,0,w/d in unit,attached garage,41.8721,-87.6306,4.0
